Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-AUG-2023,10258.2,10312,10228.3,10302.8,1190279941,43824.26
17-AUG-2023,10303.45,10308.55,10249.55,10263.95,1255800857,44999.01
18-AUG-2023,10239.4,10266.7,10210.7,10235.65,1106079620,45646.29
21-AUG-2023,10245.7,10305.05,10235.5,10290.75,1053206803,37635.43
22-AUG-2023,10309.65,10331.2,10299.2,10317.25,1384751601,40854.08
23-AUG-2023,10343.5,10360.4,10313.6,10340.05,1171221933,42596.1
24-AUG-2023,10393.15,10416.7,10317.15,10325.9,1196495683,56012.8
25-AUG-2023,10286.1,10305.5,10237,10254.45,1617927035,44943.76
28-AUG-2023,10278.9,10312.05,10251.5,10284.65,1510172056,36719.46
29-AUG-2023,10320.15,10320.95,10294.2,10311.55,1510422315,43045.22
30-AUG-2023,10360.4,10374.8,10324.35,10330.05,1378299468,41263.17
31-AUG-2023,10345.85,10349,10272.5,10284.95,2622704120,97942.73
01-SEP-2023,10289.75,10388.3,10285.4,10378.95,2843910229,52681.2
04-SEP-2023,10427.4,10447.9,10378.95,10440.75,2883252068,52632.84
05-SEP-2023,10465.3,10483.55,10440.75,10478.2,2364999754,52108.67
06-SEP-2023,10487.6,10511.05,10444.95,10500.85,1946358174,55785.76
07-SEP-2023,10501.2,10570.1,10485.45,10564.2,1733178051,45972.53
08-SEP-2023,10592.4,10645.75,10574.9,10624.35,1835324690,51015.69
11-SEP-2023,10668.55,10730.45,10656.85,10725.4,2212692250,50457.19
12-SEP-2023,10785.55,10785.6,10618.55,10645.05,2650442314,62707.63
13-SEP-2023,10641.95,10691.2,10595.15,10681,2015694165,49310.59
14-SEP-2023,10717.9,10746.15,10685.35,10721.05,1591633002,44342.54
15-SEP-2023,10753.65,10779.35,10733.65,10763.6,2418340145,70911.85
18-SEP-2023,10758.75,10766.2,10725.2,10733,2277923733,45478.67
20-SEP-2023,10665,10700.75,10611.9,10626.85,1657926982,59894.33
21-SEP-2023,10600.05,10603.75,10522.2,10540.85,1412684864,46276
22-SEP-2023,10545.15,10575.1,10496.15,10511.45,1533919244,44950.22
25-SEP-2023,10518.1,10541.45,10471.25,10518.7,1233372857,40389.78
26-SEP-2023,10524.05,10537.95,10502.95,10515.65,1409965081,36375.94
27-SEP-2023,10508.7,10557.15,10469,10549.85,1450048849,40381.94
28-SEP-2023,10573.35,10575.75,10420.8,10436.15,1707743825,57096.47
29-SEP-2023,10470.05,10550.9,10456.7,10510.25,1264356953,42802.05
03-OCT-2023,10507.95,10508.65,10443.35,10474.6,1325074557,42630.02
04-OCT-2023,10436.25,10439.7,10342.75,10399.55,1425903844,48432.78
05-OCT-2023,10446.65,10464.15,10418.8,10445,1238232740,41105.18
06-OCT-2023,10487,10514.9,10470.5,10503.75,958034409,32522.61
09-OCT-2023,10432.9,10454.6,10391.6,10411.75,1273375831,32074.58
10-OCT-2023,10444.8,10529.35,10444.55,10518.45,1047803110,38439.89
11-OCT-2023,10564.35,10603.95,10560.1,10581.1,1361327826,40506.75
12-OCT-2023,10596.4,10607.05,10570.95,10579.85,1100829274,37981.46
13-OCT-2023,10515.75,10589.3,10505.3,10561.3,1270220843,41460.63
16-OCT-2023,10557.65,10583.35,10534.05,10559.55,979196373,31861.89
17-OCT-2023,10616.25,10618.65,10583.5,10600.8,1196751535,35611.85
18-OCT-2023,10608.2,10611.9,10513,10519.25,1139751497,39034.63
19-OCT-2023,10458.55,10519.95,10431.45,10495.55,1031820243,40872.33
20-OCT-2023,10458.75,10480.75,10423.55,10435,1187335686,37267.58
23-OCT-2023,10428.75,10441.45,10250,10266.15,1425871441,38738.24
25-OCT-2023,10275.4,10310.55,10145.05,10185.75,1339319004,40248.25
26-OCT-2023,10134.5,10141.25,10017.55,10052.5,1527127913,52474.74
27-OCT-2023,10098.7,10189.85,10097.75,10173.65,1157519913,39711.41
30-OCT-2023,10182.9,10221.45,10108.65,10213.6,1288617616,36123.93
31-OCT-2023,10264.85,10265.05,10187.05,10198.35,1171317968,38068.12
01-NOV-2023,10199.55,10214.75,10143.3,10151.95,1811324091,36970.91
02-NOV-2023,10223.45,10257.55,10205.05,10248.15,1617650936,39203.99
03-NOV-2023,10308.05,10328.45,10300.55,10311.25,1758314508,38478.3
06-NOV-2023,10371.45,10411.15,10354.85,10405.65,1213392058,36958.36
07-NOV-2023,10408.95,10426.6,10376.95,10418.1,1314570502,40959.63
08-NOV-2023,10449.75,10463.7,10430.75,10457.95,1488207629,38786.85
09-NOV-2023,10471.25,10474.05,10428.5,10435.8,1543062162,39538.85
10-NOV-2023,10415.45,10469.4,10395.4,10457.55,1133739139,31653.08
12-NOV-2023,10527.5,10527.95,10504.3,10512.75,254030423,5692.89
13-NOV-2023,10494.5,10497.3,10459.05,10482.45,1497688522,33045.7
15-NOV-2023,10588.85,10606.9,10559,10599.45,1843512170,48838.85
